Nr;Ort;Name;Straße;PLZ;Telefon
2;Baden-Baden;Werner-Dietz-Jugendherberge;Hardbergstr. 34;76532 Baden-Baden;+49 7221 52223
4;Breisach;Jugendherberge Breisach;Rheinstr. 12;79206 Breisach;+49 7667 7665
7;Feldberg;Jugendherberge Hebelhof;Passhöhe 14;79868 Feldberg;+49 7676 221
9;Freiburg;Jugendherberge Freiburg International;Kartäuserstr. 151;79104 Freiburg;+49 761 67656
10;Heidelberg;Jugendherberge Heidelberg International;Tiergartenstr. 5;69120 Heidelberg;+49 6221 651190
12;Forbach-Herrenwies;Franz-Köbele-Jugendherberge;Herrenwies 33;76596 Forbach-Herrenwies;+49 7226 257
13;Karlsruhe;Jugendherberge Karlsruhe;Moltkestr. 24;76133 Karlsruhe;+49 721 28248
14;Kehl;Jugendherberge Kehl;Altrheinweg 11;77694 Kehl;+49 7851 2330
15;Konstanz;Jugendherberge Otto-Moericke-Turm;Zur Allmannshöhe 16;78464 Konstanz;+49 7531 32260
16;Lörrach;Helmut-Walser-Jugendherberge;Steinenweg 40;79540 Lörrach;+49 7621 47040
17;Mannheim;Jugendherberge Mannheim International;Rheinpromenade 21;68163 Mannheim;+49 621 822718
18;Mosbach-Neckarelz;Jugendherberge Mutschlers Mühle;Zur Alten Mühle 6;74821 Mosbach-Neckarelz;+49 6261 7191
19;Neckargemünd-Dilsberg;Jugendherberge Dilsberg;Untere Str. 1;69151 Neckargemünd-Dilsberg;+49 6223 972021
20;Ortenberg;Jugendherberge Schloss Ortenberg;Burgweg 21;77799 Ortenberg;+49 781 31749
22;Pforzheim-Dillweißenstein;Jugendherberge Rabeneck;Kräheneckstr. 4;75180 Pforzheim-Dillweißenstein;+49 7231 972660
23;Schluchsee-Seebrugg;Jugendherberge Seebrugg;Seebrugg 9;79859 Schluchsee-Seebrugg;+49 7656 494
24;Schluchsee-Wolfsgrund;Jugendherberge Wolfsgrund;Im Wolfsgrund 28;79859 Schluchsee-Wolfsgrund;+49 7656 329
26;St. Blasien-Menzenschwand;Jugendherberge Menzenschwand;Vorderdorfstr. 10;79837 St. Blasien-Menzenschwand;+49 7675 326
28;Titisee-Neustadt;Jugendherberge Rudenberg;Rudenberg 6;79822 Titisee-Neustadt;+49 7651 7360
29;Hinterzarten/Titisee;Jugendherberge Veltishof;Bruderhalde 27;79856 Hinterzarten;+49 7652 238
30;Todtnau-Todtnauberg;Jugendherberge Fleinerhaus;Radschertstr. 12;79674 Todtnau-Todtnauberg;+49 7671 275
31;Triberg;Jugendherberge Triberg;Rohrbacher Str. 35;78098 Triberg;+49 7722 4110
32;Überlingen;Martin-Buber-Jugendherberge;Alte Nußdorfer Str. 26;88662 Überlingen;+49 7551 4204
34;Walldürn;Jugendherberge Walldürn;Auf der Heide 37;74731 Walldürn;+49 6282 283
39;Altenberg;Jugendherberge Altenberg;Dresdner Str. 76;01773 Altenberg;+49 35056 32318
41;Augustusburg;Jugendherberge Schloss Augustusburg;Schloss 1;09573 Augustusburg;+49 37291 20256
43;Bad Lausick;Jugendherberge Bad Lausick;Herzogsweg 2;04651 Bad Lausick;+49 34345 7270
44;Bad Schandau;Jugendherberge Bad Schandau;Dorfstr. 14;01814 Bad Schandau;+49 35022 42408
45;Bautzen;Jugendherberge Bautzen „Gerberbastei“;Am Zwinger 1;02625 Bautzen;+49 3591 40347
49;Dresden;Jugendgästehaus Dresden;Maternistraße 22;01067 Dresden;+49 351 492620
50;Dresden;Jugendherberge Dresden „Rudi Arndt“;Hübnerstr. 11;01069 Dresden;+49 351 4710667
52;Dresden-Radebeul;Jugendherberge Dresden-Radebeul;Weintraubenstr. 12;01445 Radebeul;+49 351 8388280
54;Falkenhain;Jugendherberge Falkenhain „Talsperre Kriebstein“;Talsperrenstr. 16;09648 Mittweida;+49 3727 2952
55;Frauenstein;Jugendherberge Frauenstein;Walkmühlenstr. 13;09623 Frauenstein;+49 37326 1307
60;Grumbach;Jugendherberge Grumbach;Jöhstädter Str. 19;09477 Jöhstadt/OT Grumbach;+49 37343 2288
62;Hormersdorf;Jugendherberge Hormersdorf „Am Greifenbachstauweiher“;Zur Jugendherberge 1a;08297 Zwönitz;+49 37346 1396
63;Johanngeorgenstadt;Jugendherberge Johanngeorgenstadt;Hospitalstr. 5;08349 Johanngeorgenstadt;+49 3773 882194
